repo,provisioning_success,predicted_cpu,actual_cpu,predicted_ram_gb,actual_ram_gb,predicted_disk_gb,actual_disk_gb,predicted_gpu_required,actual_gpu_count,selected_flavor,hardware_match,undersized_reasons
https://github.com/NVIDIA-NeMo/Gym,True,2,4,8,8.0,5,40,False,0,m1.large,True,[]
https://github.com/fmi-basel/neural-decoding-RSNN,True,4,8,16,16.0,20,40,True,0,m1.xlarge,False,['GPU: Not available on KVM@TACC']
